1634795 35719 18391 2.2% 1.1% 39104 21286 0.2%  5 11
1573140 67993 26839 4.3% 1.7% 71377 29730 0.3%  5 12
1773862 117656 43735 6.6% 2.5% 121066 46626 0.5%  5 13
2270623 216985 77453 9.6% 3.4% 220370 80342 0.6%  5 14
3354892 415641 145111 12.4% 4.3% 419031 148001 0.8%  5 15
4886827 812942 280279 16.6% 5.7% 816330 283167 1.0%  5 16
7676512 1607574 550647 20.9% 7.2% 1610944 553547 1.3%  5 17
1803680 17898 9962 1.0% 0.6% 21240 12849 0.1%  6 1
2095489 17918 9977 0.9% 0.5% 21260 12863 0.1%  6 2
1749274 17980 10011 1.0% 0.6% 21330 12900 0.1%  6 3
2326375 18094 10077 0.8% 0.4% 21426 12964 0.1%  6 4
1912668 18387 10207 1.0% 0.5% 21724 13090 0.1%  6 5
1757106 19161 10467 1.1% 0.6% 22493 13348 0.1%  6 6
2608896 20238 10987 0.8% 0.4% 23597 13870 0.1%  6 7
1722934 22361 11953 1.3% 0.7% 25706 14844 0.1%  6 8
1755520 26522 14107 1.5% 0.8% 29887 17000 0.2%  6 9
2115505 34844 18267 1.6% 0.9% 38212 21158 0.2%  6 10
2049816 52807 26587 2.6% 1.3% 56192 29481 0.2%  6 11
2181102 117264 43227 5.4% 2.0% 120649 46121 0.4%  6 12
2294994 216088 76507 9.4% 3.3% 219502 79401 0.6%  6 13
3329576 413717 142993 12.4% 4.3% 417113 145884 0.8%  6 14
4177508 808982 276187 19.4% 6.6% 812377 279080 1.3%  6 15
8204263 1599499 542457 19.5% 6.6% 1602869 545356 1.2%  6 16
14076587 3180559 2140857 22.6% 15.2% 3183931 2144020 2.8%  6 17
1782788 17932 9987 1.0% 0.6% 21277 12876 0.1%  7 1
1998101 18002 10018 0.9% 0.5% 21341 12905 0.1%  7 2
1749058 18135 10084 1.0% 0.6% 21474 12966 0.1%  7 3
2564305 18409 10213 0.7% 0.4% 21741 13100 0.1%  7 4
1416665 19088 10471 1.3% 0.7% 22424 13351 0.2%  7 5
2408858 20233 10987 0.8% 0.5% 23591 13871 0.1%  7 6
2127179 22342 11945 1.1% 0.6% 25692 14837 0.1%  7 7
2233929 26481 14083 1.2% 0.6% 29825 16973 0.1%  7 8
2161613 34737 18211 1.6% 0.8% 38097 21104 0.2%  7 9
1886271 51249 26467 2.7% 1.4% 54632 29358 0.3%  7 10
2195400 86900 42979 4.0% 2.0% 90289 45873 0.3%  7 11
2798535 215844 76003 7.7% 2.7% 219218 78897 0.5%  7 12
3305653 412967 142051 12.5% 4.3% 416366 144944 0.8%  7 13
5339224 807199 274073 15.1% 5.1% 810584 276967 0.9%  7 14
8359353 1595683 538360 19.1% 6.4% 1599054 541259 1.2%  7 15
14183758 3172634 1862351 22.4% 13.1% 3176004 1865515 2.4%  7 16
27078283 6326555 3713758 23.4% 13.7% 6329928 3716924 2.5%  7 17
1691154 18021 10035 1.1% 0.6% 21381 12925 0.1%  8 1
1980118 18140 10098 0.9% 0.5% 21479 12983 0.1%  8 2
1228483 18450 10228 1.5% 0.8% 21798 13109 0.2%  8 3
2029761 19119 10485 0.9% 0.5% 22450 13366 0.1%  8 4
1894136 20256 10999 1.1% 0.6% 23637 13883 0.1%  8 5
2118252 22357 11953 1.1% 0.6% 25723 14846 0.1%  8 6
1778856 26472 14083 1.5% 0.8% 29835 16976 0.2%  8 7
1539253 34695 18195 2.3% 1.2% 38062 21090 0.2%  8 8
2575414 51138 26419 2.0% 1.0% 54492 29316 0.2%  8 9
2554838 84046 42867 3.3% 1.7% 87418 45761 0.3%  8 10
2551128 155154 75763 6.1% 3.0% 158544 78660 0.5%  8 11
2575222 412866 141555 16.0% 5.5% 416261 144451 1.1%  8 12
5143366 806694 273139 15.7% 5.3% 810106 276039 0.9%  8 13
8685799 1594157 536236 18.4% 6.2% 1597527 539134 1.1%  8 14
13981078 3169073 1854183 22.7% 13.3% 3172444 1857350 2.5%  8 15
27388165 6318888 4221676 23.1% 15.4% 6322258 4224842 2.8%  8 16
