sequential 1 1 1 0.138382 -1
sequential 1 1 2 0.085748 -1
sequential 1 1 3 0.108327 -1
sequential 1 1 4 0.047468 -1
sequential 1 1 5 0.178347 -1
sequential 1 1 1 0.094653 -1
sequential 1 1 2 0.106918 -1
sequential 1 1 3 0.081285 -1
sequential 1 1 4 0.067616 -1
sequential 1 1 5 0.036412 -1
sequential 1 1 6 0.094669 -1
sequential 1 1 7 0.095712 -1
sequential 1 1 8 0.080322 -1
sequential 1 1 9 0.150939 -1
sequential 1 1 10 0.170285 -1
sequential 1 1 11 0.083473 -1
sequential 1 1 12 0.043337 -1
sequential 1 1 13 0.098582 -1
sequential 1 1 14 0.085501 -1
sequential 1 1 15 0.06637 -1
sequential 1 1 16 0.048279 -1
sequential 1 1 17 0.158392 -1
sequential 1 2 1 0.060739 -2
sequential 1 2 2 0.20165 -2
sequential 1 2 3 0.091428 -2
sequential 1 2 4 0.092849 -2
sequential 1 2 5 0.136106 -2
sequential 1 2 6 0.109447 -2
sequential 1 2 7 0.089609 -2
sequential 1 2 8 0.071985 -2
sequential 1 2 9 0.125568 -2
sequential 1 2 10 0.142189 -2
sequential 1 2 11 0.125452 -2
sequential 1 2 12 0.184876 -2
sequential 1 2 13 0.12239 -2
sequential 1 2 14 0.139521 -2
sequential 1 2 15 0.134171 -2
sequential 1 2 16 0.082234 -2
sequential 1 2 17 0.171014 -2
sequential 1 3 1 0.08303 -3
sequential 1 3 2 0.076767 -3
sequential 1 3 3 0.039775 -3
sequential 1 3 4 0.043966 -3
sequential 1 3 5 0.123662 -3
sequential 1 3 6 0.100303 -3
sequential 1 3 7 0.158417 -3
sequential 1 3 8 0.037756 -3
sequential 1 3 9 0.154547 -3
sequential 1 3 10 0.08704 -3
sequential 1 3 11 0.144626 -3
sequential 1 3 12 0.137799 -3
sequential 1 3 13 0.069882 -3
sequential 1 3 14 0.093193 -3
sequential 1 3 15 0.063183 -3
sequential 1 3 16 0.142109 -3
sequential 1 3 17 0.096876 -3
sequential 1 4 1 0.074038 -4
sequential 1 4 2 0.127997 -4
sequential 1 4 3 0.101569 -4
sequential 1 4 4 0.154189 -4
sequential 1 4 5 0.105373 -4
sequential 1 4 6 0.07616 -4
sequential 1 4 7 0.084885 -4
sequential 1 4 8 0.118538 -4
sequential 1 4 9 0.085661 -4
sequential 1 4 10 0.174378 -4
sequential 1 4 11 0.105321 -4
sequential 1 4 12 0.123112 -4
sequential 1 4 13 0.103148 -4
sequential 1 4 14 0.083872 -4
sequential 1 4 15 0.092372 -4
sequential 1 4 16 0.126636 -4
sequential 1 4 17 0.145554 -4
