1 1 0.024433
1 2 0.033072
1 3 0.000122
1 4 0.000117
1 5 0.00011
1 6 0.000106
1 7 0.00011
1 8 0.000122
1 9 0.000139
1 10 0.000137
1 11 0.000147
1 12 0.000187
1 13 0.00028
1 14 0.012972
1 15 0.00429
1 16 0.001477
1 17 0.019193
2 1 0.000123
2 2 0.000118
2 3 0.00012
2 4 0.019909
2 5 0.000117
2 6 0.000118
2 7 0.000143
2 8 0.000127
2 9 0.011478
2 10 0.000161
2 11 0.000209
2 12 0.000281
2 13 0.000447
2 14 0.000796
2 15 0.016662
2 16 0.002919
2 17 0.026219
3 1 0.000128
3 2 0.026098
3 3 0.03019
3 4 0.001413
3 5 0.000139
3 6 0.000122
3 7 0.000122
3 8 0.000147
3 9 0.000146
3 10 0.023718
3 11 0.003861
3 12 0.022125
3 13 0.025259
3 14 0.00152
3 15 0.019998
3 16 0.005625
3 17 0.02677
4 1 0.000133
4 2 0.003158
4 3 0.000115
4 4 0.000111
4 5 0.000122
4 6 0.000116
4 7 0.028241
4 8 0.011745
4 9 0.000203
4 10 0.000274
4 11 0.003209
4 12 0.000789
4 13 0.027436
4 14 0.013699
4 15 0.005708
4 16 0.023763
4 17 0.032389
5 1 0.000131
5 2 0.00012
5 3 0.000116
5 4 0.000159
5 5 0.000123
5 6 0.000121
5 7 0.000129
5 8 0.000152
5 9 0.000209
5 10 0.000271
5 11 0.017952
5 12 0.000801
5 13 0.00185
5 14 0.018183
5 15 0.018159
5 16 0.030113
5 17 0.028306
6 1 0.000134
6 2 0.000131
6 3 0.000119
6 4 0.000123
6 5 0.000133
6 6 0.000126
6 7 0.000155
6 8 0.000204
6 9 0.000192
6 10 0.000282
6 11 0.0222
6 12 0.027366
6 13 0.018056
6 14 0.003406
6 15 0.015939
6 16 0.018374
6 17 0.041214
7 1 0.000138
7 2 0.000122
7 3 0.000124
7 4 0.000121
7 5 0.000121
7 6 0.000133
7 7 0.00022
7 8 0.000309
7 9 0.000286
7 10 0.023206
7 11 0.026009
7 12 0.028421
7 13 0.003374
7 14 0.015922
7 15 0.017928
7 16 0.040922
7 17 0.067111
8 1 0.000129
8 2 0.000192
8 3 0.000125
8 4 0.000127
8 5 0.000132
8 6 0.000162
8 7 0.000305
8 8 0.000377
8 9 0.000513
8 10 0.025422
8 11 0.021747
8 12 0.02069
8 13 0.021196
8 14 0.025105
8 15 0.042351
8 16 0.066283
8 17 0.14602
9 1 0.000154
9 2 0.000153
9 3 0.000135
9 4 0.000182
9 5 0.000301
9 6 0.000191
9 7 0.000392
9 8 0.000689
9 9 0.015903
9 10 0.002755
9 11 0.013359
9 12 0.021805
9 13 0.020526
9 14 0.040392
9 15 0.066179
9 16 0.135208
9 17 0.271959
10 1 0.000156
10 2 0.000154
10 3 0.000158
10 4 0.000157
10 5 0.000198
10 6 0.000254
10 7 0.000669
10 8 0.00112
10 9 0.026634
10 10 0.016857
10 11 0.020946
10 12 0.021681
10 13 0.039435
10 14 0.074403
10 15 0.134448
10 16 0.272074
10 17 0.551253
11 1 0.000188
11 2 0.000181
11 3 0.000177
11 4 0.000207
11 5 0.000246
11 6 0.0004
11 7 0.001036
11 8 0.017415
11 9 0.00611
11 10 0.01823
11 11 0.016212
11 12 0.038327
11 13 0.062002
11 14 0.126578
11 15 0.265957
11 16 0.541316
11 17 1.0799
12 1 0.000246
12 2 0.000258
12 3 0.000234
12 4 0.000266
12 5 0.000355
12 6 0.000679
12 7 0.001768
12 8 0.018747
12 9 0.023968
12 10 0.014652
12 11 0.037493
12 12 0.061699
12 13 0.124276
12 14 0.249909
12 15 0.528752
12 16 1.07744
12 17 2.15037
13 1 0.000362
13 2 0.000357
13 3 0.00037
13 4 0.000475
13 5 0.000645
13 6 0.00129
13 7 0.019274
13 8 0.023789
13 9 0.015859
13 10 0.040044
13 11 0.061978
13 12 0.124476
13 13 0.248954
13 14 0.496463
13 15 1.05168
13 16 2.13595
14 1 0.001537
14 2 0.000613
14 3 0.000632
14 4 0.010819
14 5 0.011764
14 6 0.037835
14 7 0.008016
14 8 0.024438
14 9 0.038269
14 10 0.061881
14 11 0.123175
14 12 0.246997
14 13 0.659508
14 14 1.01321
14 15 2.11223
15 1 0.001044
15 2 0.001098
15 3 0.001183
15 4 0.025492
15 5 0.032305
15 6 0.005602
15 7 0.024856
15 8 0.046186
15 9 0.060916
15 10 0.124872
15 11 0.263793
15 12 0.504715
15 13 0.988224
15 14 2.01252
16 1 0.002035
16 2 0.002126
16 3 0.0184
16 4 0.008697
16 5 0.037455
16 6 0.016537
16 7 0.048674
16 8 0.081263
16 9 0.123693
16 10 0.251291
16 11 0.50018
16 12 0.997849
16 13 1.98159
17 1 0.004208
17 2 0.036612
17 3 0.023247
17 4 0.025064
17 5 0.020476
17 6 0.037764
17 7 0.080361
17 8 0.163704
17 9 0.250363
17 10 0.508355
17 11 1.00193
17 12 2.05632
