sequential 1 1 2e-06
sequential 1 2 4e-06
sequential 1 3 3e-06
sequential 1 4 3e-06
sequential 1 5 6e-06
sequential 1 6 5e-06
sequential 1 7 8e-06
sequential 1 8 1.6e-05
sequential 1 9 2.6e-05
sequential 1 10 5e-05
sequential 1 11 9.5e-05
sequential 1 12 0.00019
sequential 1 13 0.00038
sequential 1 14 0.000846
sequential 1 15 0.001493
sequential 1 16 0.003065
sequential 1 17 0.006054
sequential 1 18 0.012238
sequential 2 1 4e-06
sequential 2 2 2e-06
sequential 2 3 2e-06
sequential 2 4 3e-06
sequential 2 5 5e-06
sequential 2 6 1e-05
sequential 2 7 1.4e-05
sequential 2 8 2.8e-05
sequential 2 9 5.4e-05
sequential 2 10 9.5e-05
sequential 2 11 0.00019
sequential 2 12 0.000386
sequential 2 13 0.000745
sequential 2 14 0.001511
sequential 2 15 0.003131
sequential 2 16 0.006472
sequential 2 17 0.012251
sequential 2 18 0.025025
sequential 3 1 5e-06
sequential 3 2 4e-06
sequential 3 3 8e-06
sequential 3 4 7e-06
sequential 3 5 7e-06
sequential 3 6 1.5e-05
sequential 3 7 2.5e-05
sequential 3 8 5.1e-05
sequential 3 9 0.000113
sequential 3 10 0.000188
sequential 3 11 0.000374
sequential 3 12 0.000743
sequential 3 13 0.001496
sequential 3 14 0.002994
sequential 3 15 0.006044
sequential 3 16 0.01205
sequential 3 17 0.02437
sequential 3 18 0.049718
sequential 4 1 7e-06
sequential 4 2 3e-06
sequential 4 3 7e-06
sequential 4 4 1e-05
sequential 4 5 1.4e-05
sequential 4 6 2.7e-05
sequential 4 7 4.9e-05
sequential 4 8 9.7e-05
sequential 4 9 0.000188
sequential 4 10 0.000375
sequential 4 11 0.000846
sequential 4 12 0.001568
sequential 4 13 0.00302
sequential 4 14 0.00624
sequential 4 15 0.012054
sequential 4 16 0.024163
sequential 4 17 0.049428
sequential 4 18 0.101867
sequential 5 1 4e-06
sequential 5 2 8e-06
sequential 5 3 8e-06
sequential 5 4 1.4e-05
sequential 5 5 2.8e-05
sequential 5 6 4.9e-05
sequential 5 7 9.7e-05
sequential 5 8 0.000191
sequential 5 9 0.000377
sequential 5 10 0.000756
sequential 5 11 0.001522
sequential 5 12 0.003008
sequential 5 13 0.006015
sequential 5 14 0.012012
sequential 5 15 0.024439
sequential 5 16 0.050219
sequential 5 17 0.104679
sequential 5 18 0.208321
sequential 6 1 7e-06
sequential 6 2 9e-06
sequential 6 3 1.5e-05
sequential 6 4 2.7e-05
sequential 6 5 4.9e-05
sequential 6 6 9.6e-05
sequential 6 7 0.000192
sequential 6 8 0.000382
sequential 6 9 0.000747
sequential 6 10 0.001506
sequential 6 11 0.003017
sequential 6 12 0.006406
sequential 6 13 0.014
sequential 6 14 0.037645
sequential 6 15 0.052978
sequential 6 16 0.112787
sequential 6 17 0.205367
sequential 6 18 0.422322
sequential 7 1 1.3e-05
sequential 7 2 1.5e-05
sequential 7 3 2.6e-05
sequential 7 4 5e-05
sequential 7 5 9.6e-05
sequential 7 6 0.00019
sequential 7 7 0.000391
sequential 7 8 0.000753
sequential 7 9 0.001544
sequential 7 10 0.003135
sequential 7 11 0.00609
sequential 7 12 0.012202
sequential 7 13 0.024437
sequential 7 14 0.049144
sequential 7 15 0.103355
sequential 7 16 0.205577
sequential 7 17 0.414483
sequential 7 18 0.890016
sequential 8 1 2.1e-05
sequential 8 2 2.8e-05
sequential 8 3 5.2e-05
sequential 8 4 9.7e-05
sequential 8 5 0.000274
sequential 8 6 0.000388
sequential 8 7 0.000784
sequential 8 8 0.001523
sequential 8 9 0.004193
sequential 8 10 0.006495
sequential 8 11 0.013902
sequential 8 12 0.024353
sequential 8 13 0.048941
sequential 8 14 0.103079
sequential 8 15 0.205583
sequential 8 16 0.420923
sequential 8 17 0.865522
sequential 8 18 1.68727
sequential 9 1 3.5e-05
sequential 9 2 5.4e-05
sequential 9 3 9.9e-05
sequential 9 4 0.000194
sequential 9 5 0.000401
sequential 9 6 0.000753
sequential 9 7 0.001599
sequential 9 8 0.003139
sequential 9 9 0.006044
sequential 9 10 0.012704
sequential 9 11 0.026394
sequential 9 12 0.051551
sequential 9 13 0.101828
sequential 9 14 0.20581
sequential 9 15 0.415898
sequential 9 16 0.846427
sequential 9 17 1.72243
sequential 9 18 3.52836
sequential 10 1 7.7e-05
sequential 10 2 0.000106
sequential 10 3 0.000198
sequential 10 4 0.000411
sequential 10 5 0.000754
sequential 10 6 0.001508
sequential 10 7 0.003075
sequential 10 8 0.006443
sequential 10 9 0.012269
sequential 10 10 0.024283
sequential 10 11 0.049589
sequential 10 12 0.10174
sequential 10 13 0.205989
sequential 10 14 0.417664
sequential 10 15 0.821774
sequential 10 16 1.74616
sequential 10 17 3.61313
sequential 10 18 7.12741
sequential 11 1 0.000129
sequential 11 2 0.00023
sequential 11 3 0.000401
sequential 11 4 0.000781
sequential 11 5 0.001565
sequential 11 6 0.00314
sequential 11 7 0.006518
sequential 11 8 0.012774
sequential 11 9 0.025219
sequential 11 10 0.051711
sequential 11 11 0.108675
sequential 11 12 0.216215
sequential 11 13 0.430684
sequential 11 14 0.930149
sequential 11 15 1.72629
sequential 11 16 3.45806
sequential 11 17 6.98923
sequential 11 18 14.1527
sequential 12 1 0.000252
sequential 12 2 0.000429
sequential 12 3 0.000861
sequential 12 4 0.001583
sequential 12 5 0.00328
sequential 12 6 0.006745
sequential 12 7 0.012628
sequential 12 8 0.025995
sequential 12 9 0.052799
sequential 12 10 0.108162
sequential 12 11 0.22049
sequential 12 12 0.452075
sequential 12 13 0.868695
sequential 12 14 1.73498
sequential 12 15 3.52553
sequential 12 16 6.96744
sequential 12 17 13.6163
sequential 13 1 0.000502
sequential 13 2 0.000838
sequential 13 3 0.001683
sequential 13 4 0.003473
sequential 13 5 0.006497
sequential 13 6 0.012467
sequential 13 7 0.028124
sequential 13 8 0.049183
sequential 13 9 0.10256
sequential 13 10 0.203389
sequential 13 11 0.412939
sequential 13 12 0.820897
sequential 13 13 1.6427
sequential 13 14 3.31559
sequential 13 15 6.61637
sequential 13 16 13.4921
sequential 14 1 0.000999
sequential 14 2 0.001673
sequential 14 3 0.003119
sequential 14 4 0.006219
sequential 14 5 0.012939
sequential 14 6 0.024714
sequential 14 7 0.050405
sequential 14 8 0.102404
sequential 14 9 0.205843
sequential 14 10 0.41018
sequential 14 11 0.834547
sequential 14 12 1.67863
sequential 14 13 3.30459
sequential 14 14 6.65346
sequential 14 15 13.3943
sequential 15 1 0.002021
sequential 15 2 0.003494
sequential 15 3 0.006384
sequential 15 4 0.012958
sequential 15 5 0.025312
sequential 15 6 0.049714
