1.3% 1.012000
1.4% 0.746154
1.5% 0.790909
1.6% 0.872727
1.7% 0.900000
1.8% 0.990000
1.9% 1.010000
2.0% 1.061947
2.1% 1.291566
_D1__miss_rate 0.000000
